quarter,q,yr,topic,n,median_time,pain_point
Q4 2007,4,2007,Zoning Violation,1331,296,393976
Q4 2007,4,2007,Residential Plowing,265,537,142305
Q3 2007,3,2007,court date,313,301,94213
Q4 2007,4,2007,disabilites,57,1620,92340
Q4 2007,4,2007,Liquor License,295,270,79650
Q4 2007,4,2007,After Hr Sewer Drain,29,1736,50344
Q3 2007,3,2007,In person payment,47,649,30503
Q1 2007,1,2007,Pothole,5628,4,22512
Q3 2007,3,2007,Volunteer Pgms,38,564.5,21451
Q3 2007,3,2007,General Commcations,284,61,17324
Q3 2007,3,2007,Media,11,1117,12287
Q2 2007,2,2007,Pothole,1484,3,4452
Q1 2007,1,2007,After Hr Sewer Drain,1,2061,2061
Q2 2007,2,2007,Complaint,1,1926,1926
Q2 2007,2,2007,Ticket Ctr Hours,2,836,1672
Q2 2007,2,2007,Doors,1,1605,1605
Q2 2007,2,2007,Restrooms,1,1562,1562
Q1 2007,1,2007,Development Process,1,1312,1312
Q1 2007,1,2007,Construction Trash,2,331,662
Q1 2007,1,2007,Dumpster,1,625,625
Q1 2008,1,2008,Zoning Violation,1800,231,415800
Q1 2008,1,2008,Recording General,3157,120,378840
Q1 2008,1,2008,Record Reqst General,1811,125,226375
Q4 2008,4,2008,Permitting,128,1439,184192
Q1 2008,1,2008,Signal Repair,233,678,157974
Q3 2008,3,2008,Missing Manhole Lid,101,1465,147965
Q2 2008,2,2008,Zoning Violation,2065,69,142485
Q2 2008,2,2008,Main phone number,289,377,108953
Q4 2008,4,2008,HR and Payroll,72,1442,103824
Q4 2008,4,2008,Broken Sewer Line,73,1393,101689
Q2 2008,2,2008,Recording General,3141,27,84807
Q1 2008,1,2008,Prop Tax Admin,343,231,79233
Q3 2008,3,2008,Missing Storm Grate,53,1471,77963
Q4 2008,4,2008,Traffic Signals,112,669,74928
Q2 2008,2,2008,Missing Storm Grate,44,1557.5,68530
Q3 2008,3,2008,After Hr Sewer Drain,45,1487,66915
Q2 2008,2,2008,Wastewater Permit,42,1573.5,66087
Q3 2008,3,2008,City View,1931,31,59861
Q4 2008,4,2008,Missing Manhole Lid,41,1369,56129
Q3 2008,3,2008,Parking Mgmt,65,794,51610
Q2 2009,2,2009,Permitting,662,1285,850670
Q1 2009,1,2009,Payment,1041,747,777627
Q2 2009,2,2009,Payment,1131,669,756639
Q3 2009,3,2009,Pavillion Rental,553,1207,667471
Q3 2009,3,2009,Contractor Licensing,392,1166,457072
Q2 2009,2,2009,Contractor Licensing,356,1272,452832
Q1 2009,1,2009,Contractor Licensing,323,1348,435404
Q1 2009,1,2009,Permitting,268,1361.5,364882
Q3 2009,3,2009,Payment,564,588,331632
Q4 2009,4,2009,Contractor Licensing,288,1075.5,309744
Q4 2009,4,2009,Payment,527,484,255068
Q3 2009,3,2009,Planning,191,1184,226144
Q4 2009,4,2009,Planning,206,1075.5,221553
Q2 2009,2,2009,Signal Repair,361,513,185193
Q2 2009,2,2009,Planning,145,1256,182120
Q4 2009,4,2009,Sales,382,473,180686
Q3 2009,3,2009,Signal Repair,365,413,150745
Q1 2009,1,2009,Signal Repair,251,591,148341
Q1 2009,1,2009,Parking Permits,227,585,132795
Q4 2009,4,2009,HR and Payroll,98,1088,106624
Q4 2010,4,2010,Vehicle Titles,2566,724,1857784
Q4 2010,4,2010,Registration Renewal,1377,713,981801
Q2 2010,2,2010,Pavillion Rental,594,907,538758
Q1 2010,1,2010,Payment,1181,384,453504
Q3 2010,3,2010,Pavillion Rental,484,814,393976
Q4 2010,4,2010,Vehicle Fees & Taxes,441,731,322371
Q1 2010,1,2010,Planning,293,997,292121
Q1 2010,1,2010,Sales,723,404,292092
Q2 2010,2,2010,Payment,1031,282,290742
Q2 2010,2,2010,Planning,296,903.5,267436
Q4 2010,4,2010,Parking Permits,227,719,163213
Q1 2010,1,2010,Pavillion Rental,151,992,149792
Q3 2010,3,2010,Employment Verificat,175,814,142450
Q1 2010,1,2010,HR and Payroll,137,1009,138233
Q4 2010,4,2010,Planning,183,746,136518
Q3 2010,3,2010,Mayors Staff,710,186,132060
Q2 2010,2,2010,Employment Verificat,126,928,116928
Q2 2010,2,2010,Broken Sewer Line,138,837,115506
Q3 2010,3,2010,Payment,524,207,108468
Q3 2010,3,2010,Loose No Owner,1262,56,70672
Q1 2011,1,2011,Registration Renewal,3789,637,2413593
Q2 2011,2,2011,Registration Renewal,3460,554,1916840
Q2 2011,2,2011,Vehicle Titles,3343,558,1865394
Q3 2011,3,2011,Registration Renewal,4075,456,1858200
Q1 2011,1,2011,Vehicle Titles,2900,640,1856000
Q3 2011,3,2011,Vehicle Titles,3696,467,1726032
Q4 2011,4,2011,Registration Renewal,4349,376,1635224
Q2 2011,2,2011,Administrative,2953,535,1579855
Q4 2011,4,2011,Vehicle Titles,3780,390,1474200
Q4 2011,4,2011,Vehicle Registration,3659,362,1324558
Q3 2011,3,2011,Administrative,2907,443,1287801
Q4 2011,4,2011,Administrative,2436,358,872088
Q1 2011,1,2011,License Plates,1027,635,652145
Q2 2011,2,2011,License Plates,1059,553,585627
Q1 2011,1,2011,Handicap Placards,718,620,445160
Q3 2011,3,2011,License Plates,954,449,428346
Q3 2011,3,2011,Handicap Placards,872,438,381936
Q1 2011,1,2011,Vehicle Fees & Taxes,599,637,381563
Q2 2011,2,2011,Pavillion Rental,696,540,375840
Q4 2011,4,2011,Vehicle Purchase,823,368,302864
Q1 2012,1,2012,Registration Renewal,4047,280,1133160
Q1 2012,1,2012,Vehicle Registration,2742,259,710178
Q1 2012,1,2012,Vehicle Titles,2298,284,652632
Q2 2012,2,2012,Registration Renewal,3233,194,627202
Q2 2012,2,2012,Vehicle Registration,3553,175,621775
Q1 2012,1,2012,Administrative,2048,272,557056
Q3 2012,3,2012,Registration Renewal,4369,104,454376
Q2 2012,2,2012,Administrative,2432,175,425600
Q2 2012,2,2012,License Other,2153,184,396152
Q3 2012,3,2012,Vehicle Purchase,3737,105,392385
Q2 2012,2,2012,Vehicle Titles,1819,190,345610
Q3 2012,3,2012,Cham Integration,3319,92,305348
Q1 2012,1,2012,Vehicle Purchase,810,271.5,219915
Q3 2012,3,2012,Administrative,2618,83,217294
Q3 2012,3,2012,Vehicle Titles,1831,90,164790
Q4 2012,4,2012,Signal Repair,303,166,50298
Q4 2012,4,2012,Registration Renewal,4588,9,41292
Q4 2012,4,2012,Vehicle Purchase,2194,13,28522
Q4 2012,4,2012,Sign Repair,159,168,26712
Q4 2012,4,2012,Coyote Sightings,67,331,22177
Q3 2013,3,2013,Vegetation,2866,21,60186
Q2 2013,2,2013,Proactive Inspection,4291,14,60074
Q3 2013,3,2013,Proactive Inspection,4425,13,57525
Q2 2013,2,2013,Vegetation,2338,21,49098
Q3 2013,3,2013,Vehicle Registration,5788,7,40516
Q3 2013,3,2013,Registration Renewal,5543,7,38801
Q4 2013,4,2013,Registration Renewal,5449,7,38143
Q4 2013,4,2013,Vehicle Registration,4898,7,34286
Q1 2013,1,2013,Registration Renewal,4655,7,32585
Q2 2013,2,2013,Registration Renewal,4637,7,32459
Q2 2013,2,2013,Vehicle Registration,3604,7,25228
Q1 2013,1,2013,Vehicle Registration,3507,7,24549
Q1 2013,1,2013,Coyote Sightings,81,257,20817
Q2 2013,2,2013,Graffiti Private,3422,6,20532
Q1 2013,1,2013,Cham Integration,2900,7,20300
Q3 2013,3,2013,Administrative,2814,7,19698
Q4 2013,4,2013,Administrative,2485,7,17395
Q1 2013,1,2013,Proactive Inspection,3403,5,17015
Q4 2013,4,2013,Vehicle Titles,2056,7,14392
Q4 2013,4,2013,Graffiti Private,2502,4,10008
Q1 2014,1,2014,Registration Renewal,3492,7,24444
Q1 2014,1,2014,Vehicle Titles,1230,7,8610
Q1 2014,1,2014,Graffiti Private,1603,5,8015
Q1 2014,1,2014,Snow/Ice on Sidewalk,1238,5,6190
Q1 2014,1,2014,Vehicle Purchase,692,7,4844